"coding","TL","L1","L2","L3","L4"
1287,"neurology/eye/psychiatry","psychological/psychiatric problem","anxiety/panic attacks",,
1290,"neurology/eye/psychiatry","psychological/psychiatric problem","deliberate self-harm/suicide attempt",,
1531,"neurology/eye/psychiatry","psychological/psychiatric problem","depression","post-natal depression",
1286,"neurology/eye/psychiatry","psychological/psychiatric problem","depression",,
1616,"neurology/eye/psychiatry","psychological/psychiatric problem","insomnia",,
1291,"neurology/eye/psychiatry","psychological/psychiatric problem","mania/bipolar disorder/manic depression",,
1288,"neurology/eye/psychiatry","psychological/psychiatric problem","nervous breakdown",,
1615,"neurology/eye/psychiatry","psychological/psychiatric problem","obsessive compulsive disorder (ocd)",,
1469,"neurology/eye/psychiatry","psychological/psychiatric problem","post-traumatic stress disorder",,
1289,"neurology/eye/psychiatry","psychological/psychiatric problem","schizophrenia",,
1614,"neurology/eye/psychiatry","psychological/psychiatric problem","stress",,
1408,"neurology/eye/psychiatry","psychological/psychiatric problem","substance abuse/dependency","alcohol dependency",
1409,"neurology/eye/psychiatry","psychological/psychiatric problem","substance abuse/dependency","opioid dependency",
1410,"neurology/eye/psychiatry","psychological/psychiatric problem","substance abuse/dependency","other substance abuse/dependency",
1243,"neurology/eye/psychiatry","psychological/psychiatric problem",,,
1202,"renal/urology","bladder problem (not cancer)","urinary frequency / incontinence",,
1201,"renal/urology","bladder problem (not cancer)",,,
1197,"renal/urology","kidney stone/ureter stone/bladder stone",,,
1607,"renal/urology","other renal/kidney problem","kidney nephropathy","diabetic nephropathy",
1520,"renal/urology","other renal/kidney problem","kidney nephropathy","iga nephropathy",
1519,"renal/urology","other renal/kidney problem","kidney nephropathy",,
1609,"renal/urology","other renal/kidney problem","nephritis","glomerulnephritis",
1608,"renal/urology","other renal/kidney problem","nephritis",,
1427,"renal/urology","other renal/kidney problem","polycystic kidney",,
1405,"renal/urology","other renal/kidney problem",,,
1518,"renal/urology","other urological problem (male)","erectile dysfunction / impotence",,
1404,"renal/urology","other urological problem (male)","male infertility",,
1516,"renal/urology","other urological problem (male)","prostate problem (not cancer)","bph / benign prostatic hypertrophy",
1396,"renal/urology","other urological problem (male)","prostate problem (not cancer)","enlarged prostate",
1517,"renal/urology","other urological problem (male)","prostate problem (not cancer)","prostatitis",
1207,"renal/urology","other urological problem (male)","prostate problem (not cancer)",,
1210,"renal/urology","other urological problem (male)","scrotal problem (not cancer)",,
1214,"renal/urology","other urological problem (male)","testicular problems (not cancer)",,
1679,"renal/urology","other urological problem (male)","undescended testicle",,
1194,"renal/urology","renal/kidney failure","renal failure not requiring dialysis",,
1193,"renal/urology","renal/kidney failure","renal failure requiring dialysis",,
1192,"renal/urology","renal/kidney failure",,,
1200,"renal/urology","ureteric obstruction/hydronephrosis",,,
1514,"renal/urology","urinary tract infection/kidney infection","cystitis",,
1515,"renal/urology","urinary tract infection/kidney infection","pyelonephritis",,
1196,"renal/urology","urinary tract infection/kidney infection",,,
1111,"respiratory/ent","asthma",,,
1114,"respiratory/ent","bronchiectasis",,,
1112,"respiratory/ent","chronic obstructive airways disease/copd",,,
1496,"respiratory/ent","emphysema/chronic bronchitis","alpha-1 antitrypsin deficiency",,
1412,"respiratory/ent","emphysema/chronic bronchitis","bronchitis",,
1472,"respiratory/ent","emphysema/chronic bronchitis","emphysema",,
1113,"respiratory/ent","emphysema/chronic bronchitis",,,
1499,"respiratory/ent","ent disorder/not cancer","ear/vestibular disorder","labyrinthitis",
1421,"respiratory/ent","ent disorder/not cancer","ear/vestibular disorder","meniere's disease",
1420,"respiratory/ent","ent disorder/not cancer","ear/vestibular disorder","otosclerosis",
1597,"respiratory/ent","ent disorder/not cancer","ear/vestibular disorder","tinnitus / tiniitis",
1500,"respiratory/ent","ent disorder/not cancer","ear/vestibular disorder","vertigo",
1415,"respiratory/ent","ent disorder/not cancer","ear/vestibular disorder",,
1416,"respiratory/ent","ent disorder/not cancer","nasal/sinus disorder","chronic sinusitis",
1417,"respiratory/ent","ent disorder/not cancer","nasal/sinus disorder","nasal polyps",
1413,"respiratory/ent","ent disorder/not cancer","nasal/sinus disorder",,
1418,"respiratory/ent","ent disorder/not cancer","throat or larynx disorder","chronic laryngitis",
1598,"respiratory/ent","ent disorder/not cancer","throat or larynx disorder","tonsiltis",
1419,"respiratory/ent","ent disorder/not cancer","throat or larynx disorder","vocal cord polyp",
1414,"respiratory/ent","ent disorder/not cancer","throat or larynx disorder",,
1120,"respiratory/ent","interstitial lung disease","asbestosis",,
1122,"respiratory/ent","interstitial lung disease","fibrosing alveolitis/unspecified alveolitis",,
1121,"respiratory/ent","interstitial lung disease","pulmonary fibrosis",,
1115,"respiratory/ent","interstitial lung disease",,,
1596,"respiratory/ent","other respiratory problems","pleural effusion",,
1595,"respiratory/ent","other respiratory problems","pleural plaques (not known asbestosis)",,
1125,"respiratory/ent","other respiratory problems","pleurisy",,
1126,"respiratory/ent","other respiratory problems","pneumothorax","spontaneous pneumothorax/recurrent pneumothorax",
1497,"respiratory/ent","other respiratory problems","pneumothorax",,
1124,"respiratory/ent","other respiratory problems","respiratory failure",,
1123,"respiratory/ent","other respiratory problems","sleep apnoea",,
1117,"respiratory/ent","other respiratory problems",,,
1498,"respiratory/ent","respiratory infection","empyema",,
1411,"respiratory/ent","respiratory infection","lung abscess",,
1398,"respiratory/ent","respiratory infection","pneumonia",,
1594,"respiratory/ent","respiratory infection",,,
99999,"unclassifiable",,,,
